,target,feature,weight,value
170,Return to Owner, Calico,0.002227146196099358,0.0
171,Return to Owner, Hound,0.0020519905303257027,0.0
172,Return to Owner, Inside Jurisdiction,0.00186530217050573,1.0
173,Return to Owner, Euthanasia Request,0.0014135737360067451,0.0
174,Return to Owner, July,0.0012293300456012082,0.0
175,Return to Owner, 2011,0.0011383850138968513,0.0
176,Return to Owner, Tick,0.001104736937295333,0.0
177,Return to Owner, Cream,0.0008040326771990808,0.0
178,Return to Owner, Sable,0.0007030822329573325,0.0
179,Return to Owner, 2002,0.0006783093144834053,0.0
180,Return to Owner, 2003,0.0006478976740908058,0.0
181,Return to Owner, Adult Cat,0.0005240702365245571,0.0
182,Return to Owner, Point,0.0004987926648309626,0.0
183,Return to Owner, Gamebird,0.0004895452086747091,0.0
184,Return to Owner, Working,0.0004038501644055899,0.0
185,Return to Owner, Gray,0.00011971795376891257,0.0
186,Return to Owner, Pregnant,9.617580436025282e-05,0.0
187,Return to Owner, Apricot,1.2985541942648173e-05,0.0
188,Return to Owner, Parrots and Cockatoos,-2.046928383529878e-05,0.0
189,Return to Owner, Burmese,-3.8705215792564376e-05,0.0
190,Return to Owner, Smoke,-4.1291791648297095e-05,0.0
191,Return to Owner, 1998,-8.694394390041554e-05,0.0
192,Return to Owner, Merle,-0.00010061327059761706,0.0
193,Return to Owner, Red,-0.00017008435590631053,0.0
194,Return to Owner, Orange,-0.00017633189696537204,0.0
195,Return to Owner, Foundation Stock Service,-0.00031222767279694705,0.0
196,Return to Owner, Normal,-0.000357356015178144,1.0
197,Return to Owner, Silver,-0.00046062360186126055,0.0
198,Return to Owner, Siamese,-0.0005326515036521528,0.0
199,Return to Owner, 2001,-0.000547152466633613,0.0
200,Return to Owner, Yellow,-0.0006697630635272302,0.0
201,Return to Owner, Gold,-0.0007001088154544597,0.0
202,Return to Owner, Unknown,-0.0011607255794478047,0.0
203,Return to Owner, Chocolate,-0.0014359944643878263,0.0
204,Return to Owner, February,-0.0014915034656935982,0.0
205,Return to Owner, 2009,-0.001531043409757883,0.0
206,Return to Owner, Brindle,-0.0017959711179555324,0.0
207,Return to Owner, 2005,-0.0038639004943556736,0.0
208,Return to Owner, 2006,-0.004246345306723756,0.0
209,Return to Owner, Intact,-0.005173929335016452,0.0
210,Return to Owner, March,-0.005503235915879871,0.0
211,Return to Owner, Blue,-0.005547090614077944,0.0
212,Return to Owner, 2012,-0.006521035784114044,0.0
213,Return to Owner, 2018,-0.006674915456808533,0.0
214,Return to Owner, January,-0.006842815947570872,0.0
215,Return to Owner, October,-0.007551651636689427,0.0
216,Return to Owner, Foreign Shorthairs,-0.008083098142247322,0.0
217,Return to Owner, Multigroup,-0.008829126233157911,0.0
218,Return to Owner, Tan,-0.009642528514612067,0.0
219,Return to Owner, Terrier,-0.011736267104161795,0.0
220,Return to Owner, Owner Surrender,-0.013187206853470192,0.0
221,Return to Owner, 2017,-0.015836403690384564,0.0
222,Return to Owner, April,-0.01701540654392214,0.0
223,Return to Owner, 2008,-0.01797051811082059,0.0
224,Return to Owner, Non-Sporting,-0.020384376520891354,0.0
225,Return to Owner, Adult Dog,-0.0203898152623419,0.0
226,Return to Owner, 2013,-0.022949300336585446,0.0
227,Return to Owner, Stray,-0.02551472986731064,1.0
228,Return to Owner, September,-0.028194884643686375,0.0
229,Return to Owner, Tabby,-0.031269399837317094,1.0
230,Return to Owner, 2014,-0.032659654205328445,0.0
231,Return to Owner, June,-0.03624801858703884,0.0
232,Return to Owner, May,-0.04115188110291749,0.0
233,Return to Owner,Age_upon_Outcome,-0.041514709067526516,-0.6820268019871176
234,Return to Owner, Injured,-0.04224713013638258,0.0
235,Return to Owner, August,-0.08127906707891816,0.0
236,Return to Owner, Black,-0.08291649300046816,0.0
237,Return to Owner, 2015,-0.08332045824770909,1.0
238,Return to Owner, Multicolored,-0.09365667903094346,0.0
239,Return to Owner,<BIAS>,-0.09522803699318375,1.0
240,Return to Owner, Puppy,-0.10140450234202125,0.0
241,Return to Owner, Public Assist,-0.200800559374903,0.0
242,Return to Owner, Kitten,-0.4332575583335266,1.0
243,Return to Owner,Age_upon_Intake,-1.030491957240856,-0.6988071980700409
244,Return to Owner,Days_to_Outcome,-2.8925897325292893,0.5892739563169921
245,Transfer,Days_to_Outcome,0.24115781949795878,0.5892739563169921
246,Transfer,<BIAS>,0.12042845010737767,1.0
247,Transfer, Adult Dog,0.04284483106159456,0.0
248,Transfer, June,0.02709635270843252,0.0
249,Transfer, Public Assist,0.02491492514834107,0.0
250,Transfer, Tabby,0.02050834384171129,1.0
251,Transfer, 2018,0.010766945145344214,0.0
252,Transfer, November,0.009770641298033613,1.0
253,Transfer, 2017,0.0057033742605477585,0.0
254,Transfer, March,0.0054406054600683994,0.0
255,Transfer, February,0.005156426790788675,0.0
256,Transfer, Normal,0.004544612611643798,1.0
257,Transfer, Point,0.0038579894591490374,0.0
258,Transfer, July,0.0038261418076076664,0.0
259,Transfer, Calico,0.0024883771040537833,0.0
260,Transfer, Brindle,0.002410167380838047,0.0
261,Transfer, May,0.001984814575341998,0.0
262,Transfer, Brown,0.0015726835407265753,0.0
263,Transfer, 2009,0.0014368112469287941,0.0
264,Transfer, 2012,0.0012143660948680723,0.0
265,Transfer, Multicolored,0.0011891831359254752,0.0
266,Transfer, Sick,0.0011444971178449044,0.0
267,Transfer, 2010,0.0011412838924421923,0.0
268,Transfer, 2007,0.0010102935783507154,0.0
269,Transfer, Foundation Stock Service,0.0009943824117222071,0.0
270,Transfer, Chick,0.0009422989264159968,0.0
271,Transfer, Working,0.0008299438232354306,0.0
272,Transfer, 2004,0.0008139804451216824,0.0
273,Transfer, 2016,0.000769185710263893,0.0
274,Transfer, 2011,0.0007378617279651139,0.0
275,Transfer, 2001,0.0006809520247836995,0.0
276,Transfer, 1999,0.0006619253877278882,0.0
277,Transfer, Tiger,0.0005011651739990662,0.0
278,Transfer, 2005,0.0002949414034987566,0.0
279,Transfer, 2002,0.0002438370819917095,0.0
280,Transfer, 2003,0.00023217106812727377,0.0
281,Transfer, Merle,0.0002174167109830745,0.0
282,Transfer, 2006,0.00016517998616344287,0.0
283,Transfer, 1997,0.00013553889737272953,0.0
284,Transfer, Unknown,0.0001341202838299745,0.0
285,Transfer, Gamebird,0.00010141354992709415,0.0
286,Transfer, Fawn,8.079442452782882e-05,0.0
287,Transfer, Aged,4.5345955608770385e-05,0.0
288,Transfer, 1998,3.9462647792050195e-05,0.0
289,Transfer, Foreign Shorthairs,3.4339203810616046e-05,0.0
290,Transfer, Burmese,2.327780583392387e-05,0.0
291,Transfer, Waterfowl,-1.9021431979809724e-05,0.0
292,Transfer, Liver,-3.631948981746681e-05,0.0
293,Transfer, Tick,-4.910907544725539e-05,0.0
294,Transfer, Apricot,-9.51970656905685e-05,0.0
295,Transfer, Wildlife,-0.00015238750816397154,0.0
296,Transfer, Red,-0.00017017452883458792,0.0
297,Transfer, Gray,-0.00024228401768329406,0.0
298,Transfer, Miscellaneous,-0.0002690195606186867,0.0
299,Transfer, Chocolate,-0.00034423579307908746,0.0
300,Transfer, Adult Bird,-0.00037429370679857414,0.0
301,Transfer, Sporting,-0.00039240290455557473,0.0
302,Transfer, Tan,-0.0004355120095386459,0.0
303,Transfer, Sable,-0.0004508869541970603,0.0
304,Transfer, Yellow,-0.00045286245454446034,0.0
305,Transfer, Other,-0.0006851900571243828,0.0
306,Transfer, Nursing,-0.0007470473685289086,0.0
307,Transfer, Black,-0.001001281760736898,0.0
308,Transfer, Feral,-0.0011762012921614686,0.0
309,Transfer, Herding,-0.0016646651123953847,0.0
